Company,LTP,% Gain,High,Low,Open,Prev Close,News,Qtly Results
HCLTEC,822.6,1.42,822.6,822.6,822.6,811.1,,
NTPC,91.3,0.88,91.3,91.3,91.3,90.5,,
ITC,180.2,0.56,180.2,180.2,180.2,179.2,,
ASIPAI,"2,040.00",0.55,"2,040.00","2,040.00","2,040.00","2,028.80",,
MAHMAH,658,0.54,658,658,658,654.45,,
TITIND,"1,168.00",0.44,"1,168.00","1,168.00","1,168.00","1,162.85",,
TCS,"2,460.00",0.38,"2,460.00","2,460.00","2,460.00","2,450.75",,
SUNPHA,524.7,0.28,524.7,524.7,524.7,523.25,,
AXIBAN,444.3,0.23,444.3,444.3,444.3,443.3,,
STABAN,193,0.21,193,193,193,192.6,,
POWGRI,172,0.12,172,172,172,171.8,,
MARUTI,"6,971.00",0.11,"6,971.00","6,971.00","6,971.00","6,963.30",,
HINLEV,"2,099.00",0.03,"2,099.00","2,099.00","2,099.00","2,098.30",,
NESIND,"16,100.00",0.01,"16,100.00","16,100.00","16,100.00","16,098.90",,
